user_id,removed_count
e295e533-af0b-4ed7-a478-c10764b9e04e,3
e6d2f7ec-c43d-481a-aead-2f52fbb5ae0f,3
aeecf6ab-a0ad-424c-bb94-bca48e996727,3
01c39cb0-85ed-4d34-9b33-24d30766c156,3
240a9595-62a9-4c19-88b5-030516e50dac,3
84fa1940-3ec9-4c7c-988f-e81c43e80781,3
d146ca53-9c9a-4c2e-b25f-38b4b31a9111,3
74503748-5634-4994-8a41-9d4958c17375,3
10e81577-c18d-40e4-bc3d-35b942318f24,3
2b279d78-f370-4077-83a6-95c41e1cc193,3
350077ed-1679-4839-b7e6-44e1a5635d70,3
ed2c978e-265b-4929-87d2-f20943a387ee,3
5417b197-41b5-4bd5-8143-965ed78152d4,3
ed705dc5-122a-4d74-8090-1c9ea7760a15,3
4ade37f0-92e1-4ec2-a6df-ddd89dc71968,3
7a013d78-f885-422a-92dd-475c0fba7ebe,3
3143f262-acf1-44e5-b623-da793778c90a,3
08e18aeb-db18-4d0c-9318-273155a57ee3,3
a4eb0842-59f6-47c8-bb4b-ce78c1ccbfe7,3
40ea7b2e-4033-42ff-8e8e-81cbbfbf6b94,3
c1c82a12-5852-4f6e-bc20-c78b2ebbc3da,3
7a923d89-3099-49b5-9613-2511b15b9001,3
83176ff1-c991-4865-9df0-813e56c4fab6,3
8ff99dd6-91de-462f-b891-d1e068207b89,3
288310f2-1215-4880-a890-ccfcc57284a3,2
74df6bae-da95-43b0-be1c-52103bea5e28,2
c9102db1-e5cb-42d0-9069-5b32f2778489,2
bfddfd72-b6ca-44e5-8861-e58f33fc1320,2
689bfd90-c4fc-4a45-8123-2bb7f41f293f,2
8863fcd4-30ff-4666-b8a9-6be4772d159c,2
b8f181f7-5e54-4692-8bc9-ddcd76cd054d,2
739ec2a5-f2f8-44ba-aabd-be877383b916,2
02595a82-48be-421b-ad81-63d88b67aeac,2
6bd123bd-795c-4f0a-a451-112c298d0d50,2
323c17a5-f5b4-403d-9cc4-aa6e8f9435de,2
4e59fc91-e6ab-481a-813e-d4e8ede7f385,2
e8597080-2428-48e0-9f2a-7f9b3797ccc4,2
3b2d2daa-c2dc-4fca-8be9-32fe7c9aa973,2
59073cbe-4415-40e3-99ea-fed5c4585ad4,2
0d6ee194-743e-432d-9efc-32c0d9ad4d7e,2
dc8a9a38-a7ec-4cb6-9f42-01525c28c49d,2
8ed0632f-f992-4997-a1b5-12fc325b4c2b,2
d37d073f-ccd9-4bca-bf24-6b6fc5e4cca7,2
d09d1a3a-777c-41b7-8ad8-0175046fa69d,2
44d1df85-d8da-441a-a9b7-d1855bdb29cb,2
6d3424c0-20f6-440f-bbd6-e44c71512c58,2
15366c17-d1a2-43a6-98d4-f30219c3d264,2
0b077271-e6eb-47a9-bf64-31ac0ca47373,2
e9fba6d9-e770-4322-ab2f-a55d2d5af47c,2
202f60a0-a35d-45d0-8ae8-d6ef31b1b961,2
5a039888-1740-4afe-af27-23ab25735717,2
2126e251-4e35-4909-a9d2-038adf9ecf4c,2
70854f5c-c84b-4da9-bfb5-754f8a026c26,2
edcddde6-4d6d-4fba-9465-f7a6045a3569,2
b926ce7b-b1e4-421e-8137-0c1ec870a7f7,2
b93005f3-da81-4d21-8223-63ca1a058adc,2
1e0da27f-87b0-4e13-a235-30291273bcf4,2
1323831c-4a35-4a22-bb87-933fd2137550,2
27df021f-e41b-405c-96bd-62e77f9d24b1,2
2cf104ec-ed19-473b-a65c-db32df589bed,2
b9ae7168-66ad-4f58-a157-651d22094108,2
7570e2c2-2a0c-4a34-aa41-e2d111f8a8a0,2
8e247a11-cf52-4fea-9c40-7f2ad9a53eac,2
c5c90681-0334-41d5-afc0-8e781991d855,2
fd228502-0e7a-4dc4-99ab-e97c0332d7a9,2
4696623c-74ce-45ee-8345-14dfcab864f3,2
77f2b0f5-62a7-4c33-bb63-c90d2fcf56f4,2
76f01a11-1119-4d1a-bd3f-2cb8a1203d6e,2
efeb5563-b166-4a86-86b1-96f47a3b6a55,2
618f5f62-8a5e-4844-bf4d-5a6b1de71ce3,2
750fa491-1a57-4385-b2a5-546a500258bf,2
3e361051-4895-47c0-a69c-77d0868fc945,2
89394d8c-9ae6-4939-b9a2-f95d37b08c90,2
7b950b23-bd01-46a8-be29-8ce3e5805b1b,2
5818e55f-bed4-4d66-bd1f-65c25b8aaa84,2
6805eb77-6249-48bf-92ae-5536c1cc2a24,2
fee06a02-818b-40b2-b69d-2b98d27a9cf5,2
9f865aef-5208-4b81-969d-2cbbd339ae06,2
a4c26342-c024-4c19-8c40-85eae786fa67,2
cc6a7a04-2959-4028-af44-1c56566d0a3b,2
7983097c-ec71-4f51-a087-109ea9d1547e,2
6d55895b-31cb-4f52-b05c-aa05d9e78a8c,2
7201f5e2-bb6a-4fea-b594-8ea7076594a2,2
d609bc19-4335-4024-9066-55e6a06366a7,2
d94622a9-1090-4bad-b7f3-8b824abdcb98,2
e2c1273a-fe30-413c-bc39-5cd4e96dea0b,2
ee4edb9e-06d3-4834-afb7-a8228bc24799,2
f1e7f816-5df1-4d15-84f1-07f7eae978b3,2
189dafe7-7a4a-46b9-b596-9021a9421666,2
ce214445-78a7-4661-bc99-5bccae61c1d1,2
d52848bc-ec53-4829-8d1b-a49efa60e4db,2
94d7c805-c763-48cf-8e06-ddf327f5f1c7,2
bd4635e1-dc3e-455b-9a24-db1e322f488f,1
378e5d2d-6b64-455e-84b2-b6faa142dc86,1
d12ce3ad-1c96-4b81-a58c-a156c4aa34ea,1
c37a1729-42cf-4e8b-84cd-a37bbcdc31da,1
ad1fdab5-776d-4ef1-ba58-ca97433655a4,1
3b640689-2dd6-4c7f-a059-489ab564cc4f,1
7ca4b572-cca2-4695-a4a3-cddac081eddf,1
c0978f04-101d-4ddb-aea9-34ffaa980891,1
16d40854-292f-4b0b-852f-2c3b88929c5a,1
faa1bef0-37ee-4349-97a7-69ecd46d3bfd,1
a2a38cc0-f86e-449f-9c5a-f9a9bd83a073,1
0463d66a-89f9-4fec-9e20-c1a152d37a9d,1
8c4b84d6-2730-4952-9fce-985f8372f384,1
134cc5b6-5cbb-4407-8c92-7360c388fcb2,1
93ea2e38-236c-40a0-a753-50fd889079d9,1
ab4ba3b8-9b68-4dd4-b311-bfc504759c74,1
a4c1fdee-a9df-47ab-9a56-4dc754b57a94,1
61a62ccc-df03-488c-866b-299225bcec34,1
20a4695c-72fe-454e-a17d-459c0aee9de8,1
0c7c87ec-ed23-4a7f-857d-c87c094f222a,1
c3222864-8ed0-4abc-9bdd-5ac619562deb,1
7bb85e18-6a68-4807-82dc-115b38a185fc,1
830ddbc3-0fd4-4499-ba6e-64a4ec3d9ee4,1
f68ac505-6d26-4426-9673-c0fa66f12ed6,1
4a26088e-38ae-4546-941e-18fe941216a3,1
da0d912e-3c38-485d-b010-12709e5fda4f,1
b5ad7b28-132a-4651-b78c-25b7207f83da,1
0d9f5e5f-40ec-4dfd-8b16-f4ab3c6c58a9,1
428f797f-868b-41db-a899-af7ae760873e,1
01858e22-5465-4af5-a25e-4765dd5205b6,1
220792e4-7473-49e0-ac76-94bf42e4bdc4,1
262e084b-6d5c-490c-af3a-d926d6c44966,1
2d4c9894-b31e-4647-9e89-010b278d7fbd,1
38acb793-d452-46be-9858-5fbee5e988bd,1
001adb56-40a5-4ef2-a092-e20915e0fb81,1
def43635-c50b-4893-95fe-a09de343a318,1
f5e02c08-5951-4afe-852c-2695017f9ced,1
db15bebe-2a2d-4273-96b9-8d5893844cf1,1
80fca9d5-c17e-4357-a98e-4ff1194307e7,1
830d6828-d980-4af1-8296-60a55199215f,1
224c4c81-b09c-48d4-984a-77c8157ed547,1
e479b576-40b8-400c-8d7e-6de4f1455538,1
84410692-da96-4075-ad52-00396502d47e,1
4ba22619-bbf7-46ed-b683-ef4130a7d3ca,1
0d08c0e0-2653-4d8b-b4e9-d8d73a8e53c5,1
ef90e472-2ee7-4fa5-b389-5c9267eb04bf,1
43260d84-243d-4aca-9c24-acd3982ab1d2,1
7c1594f6-99c5-487b-ac34-a42cc51c3712,1
019a504f-3376-46eb-ace1-97b44979a5aa,1
366279b6-c4a5-444d-942f-2eb87a24c976,1
b3f825ee-dec6-494a-9b3e-b2ac8d7ded7e,1
fcbb0cfd-484c-4366-8514-9332fba1d518,1
8c62da82-498b-4ff0-bdc1-610b883aebc1,1
4079fc60-9111-4081-96c0-fc411ffd264a,1
ea0e5b33-9459-4063-af35-bc069660848d,1
c2ac65d6-8758-4f88-9198-190937228d4d,1
785cd23b-ad54-4129-8beb-604aceeff62f,1
e0a8786e-eb20-4ce2-91b7-f7a785109259,1
3c611ae7-b504-435e-91db-8d34f44d9682,1
39fce2da-03b2-4bce-8a3e-5622009a3287,1
c284c78c-aa92-4ab0-971a-1ddf915f9684,1
c50eda0e-7e26-4c4b-b415-1c8e328db8b4,1
509e4c76-1585-4036-83ac-f8c0ba10ebd7,1
8068251b-0146-4d86-9e21-52187bc4be7e,1
c7167d61-e6ee-4fdc-94da-3828ee411d18,1
ece681c5-5367-48b7-aa1d-a77a67d77749,1
b34dfe07-07db-4ab9-a8bc-2279f14e5cd2,1
