user_id,interval_days,raw_start_weight,raw_weight,raw_weight_loss,raw_loss_pct,filtered_start_weight,filtered_weight,filtered_weight_loss,filtered_loss_pct
b93005f3-da81-4d21-8223-63ca1a058adc,30,123.830616,120.51000213623048,3.3206138637695233,2.6815774410502193,123.830616,120.51000213623048,3.3206138637695233,2.6815774410502193
b93005f3-da81-4d21-8223-63ca1a058adc,60,123.830616,120.43400573730467,3.396610262695333,2.742948692668486,123.830616,120.43400573730467,3.396610262695333,2.742948692668486
b93005f3-da81-4d21-8223-63ca1a058adc,90,123.830616,117.26400756835938,6.566608431640631,5.3028957165493145,123.830616,117.26400756835938,6.566608431640631,5.3028957165493145
b93005f3-da81-4d21-8223-63ca1a058adc,120,123.830616,113.5060043334961,10.324611666503912,8.337689014245,123.830616,113.5060043334961,10.324611666503912,8.337689014245
b93005f3-da81-4d21-8223-63ca1a058adc,150,123.830616,112.47000885009766,11.36060714990235,9.174312069886133,123.830616,112.47000885009766,11.36060714990235,9.174312069886133
b93005f3-da81-4d21-8223-63ca1a058adc,180,123.830616,109.62000274658205,14.21061325341796,11.475847986912994,123.830616,109.62000274658205,14.21061325341796,11.475847986912994
b93005f3-da81-4d21-8223-63ca1a058adc,210,123.830616,106.64200592041016,17.18861007958985,13.880743417758538,123.830616,106.64200592041016,17.18861007958985,13.880743417758538
b93005f3-da81-4d21-8223-63ca1a058adc,240,123.830616,105.27400207519533,18.55661392480468,14.985481397269862,123.830616,105.27400207519533,18.55661392480468,14.985481397269862
b93005f3-da81-4d21-8223-63ca1a058adc,270,123.830616,,,,123.830616,,,
b93005f3-da81-4d21-8223-63ca1a058adc,300,123.830616,,,,123.830616,,,
b93005f3-da81-4d21-8223-63ca1a058adc,330,123.830616,,,,123.830616,,,
b93005f3-da81-4d21-8223-63ca1a058adc,360,123.830616,,,,123.830616,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,30,148.778176,147.5,1.278176000000002,0.8591152508819586,148.778176,147.5,1.278176000000002,0.8591152508819586
818faece-f3d9-44b6-a2db-8fa137a37b6c,60,148.778176,144.8,3.9781759999999906,2.6738975479844505,148.778176,144.8,3.9781759999999906,2.6738975479844505
818faece-f3d9-44b6-a2db-8fa137a37b6c,90,148.778176,141.7,7.078176000000013,4.757536481694744,148.778176,141.7,7.078176000000013,4.757536481694744
818faece-f3d9-44b6-a2db-8fa137a37b6c,120,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,150,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,180,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,210,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,240,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,270,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,300,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,330,148.778176,,,,148.778176,,,
818faece-f3d9-44b6-a2db-8fa137a37b6c,360,148.778176,,,,148.778176,,,
f25a0611-c502-4814-bcbf-909e49006892,30,96.81700134277344,95.06500244140624,1.7519989013672017,1.809598393947752,96.81700134277344,95.06500244140624,1.7519989013672017,1.809598393947752
f25a0611-c502-4814-bcbf-909e49006892,60,96.81700134277344,93.04800415039062,3.7689971923828125,3.892908414957985,96.81700134277344,93.04800415039062,3.7689971923828125,3.892908414957985
f25a0611-c502-4814-bcbf-909e49006892,90,96.81700134277344,91.27200317382812,5.5449981689453125,5.727297986965798,96.81700134277344,91.27200317382812,5.5449981689453125,5.727297986965798
f25a0611-c502-4814-bcbf-909e49006892,120,96.81700134277344,89.11900329589844,7.697998046875,7.951080843353956,96.81700134277344,89.11900329589844,7.697998046875,7.951080843353956
f25a0611-c502-4814-bcbf-909e49006892,150,96.81700134277344,88.6570053100586,8.159996032714844,8.42826767979002,96.81700134277344,88.6570053100586,8.159996032714844,8.42826767979002
f25a0611-c502-4814-bcbf-909e49006892,180,96.81700134277344,,,,96.81700134277344,,,
f25a0611-c502-4814-bcbf-909e49006892,210,96.81700134277344,85.59800720214844,11.218994140625,11.587834765616197,96.81700134277344,85.59800720214844,11.218994140625,11.587834765616197
f25a0611-c502-4814-bcbf-909e49006892,240,96.81700134277344,83.5580062866211,13.258995056152344,13.694903655619173,96.81700134277344,83.5580062866211,13.258995056152344,13.694903655619173
f25a0611-c502-4814-bcbf-909e49006892,270,96.81700134277344,,,,96.81700134277344,,,
f25a0611-c502-4814-bcbf-909e49006892,300,96.81700134277344,,,,96.81700134277344,,,
f25a0611-c502-4814-bcbf-909e49006892,330,96.81700134277344,,,,96.81700134277344,,,
f25a0611-c502-4814-bcbf-909e49006892,360,96.81700134277344,,,,96.81700134277344,,,
e40d8eff-e363-4826-b81d-8c889bb89438,30,124.7378,128.366536,-3.6287360000000035,-2.9090909090909123,124.7378,128.366536,-3.6287360000000035,-2.9090909090909123
e40d8eff-e363-4826-b81d-8c889bb89438,60,124.7378,128.0,-3.262200000000007,-2.6152457394631035,124.7378,128.0,-3.262200000000007,-2.6152457394631035
e40d8eff-e363-4826-b81d-8c889bb89438,90,124.7378,124.7,0.037799999999990064,0.03030356475742723,124.7378,124.7,0.037799999999990064,0.03030356475742723
e40d8eff-e363-4826-b81d-8c889bb89438,120,124.7378,121.6,3.1377999999999986,2.515516547510056,124.7378,121.6,3.1377999999999986,2.515516547510056
